precincts,id
N1,9477200200.0
L1,1432600560.0
S3,2287000060.0
R2,3663500060.0
SW,3996900125.0
S3,7796450200.0
S3,7549802535.0
S3,3278600320.0
S3,2824079053.0
B2,1222069094.0
S3,3542300060.0
S3,2222059065.0
L3,7551300060.0
W1,100600550.0
F3,3211100860.0
N3,
S3,9526600140.0
U2,7465900060.0
R3,1222000055.0
S3,6300000550.0
R3,2310030510.0
S3,1025049114.0
R3,8677300550.0
W3,4014400292.0
R1,1102000196.0
B1,257000138.0
R3,46100204.0
S3,1909600046.0
L1,1250202145.0
S3,7611200125.0
S3,5611500140.0
F2,7138000260.0
L3,626059335.0
S3,1922059282.0
S3,705700390.0
L3,7454001200.0
F2,8682281200.0
S3,7972000200.0
S3,722059070.0
R3,7202340400.0
R2,8096000060.0
L3,2424000060.0
S3,9264902050.0
G1,943100260.0
L3,3677400445.0
S3,1762600320.0
S3,4058000060.0
W3,7228500560.0
U3,326069104.0
S3,5152100060.0
B3,3584000310.0
W3,8150100045.0
L3,1868901275.0
F2,6131600075.0
S3,9468200125.0
J1,8029510030.0
S3,2025069065.0
S3,7899800890.0
S3,3021059276.0
S1,3797001895.0
S3,3832710960.0
N3,1310430400.0
F3,1422300030.0
S3,1105000588.0
S3,3830630060.0
L3,5101404898.0
C3,7972601890.0
S3,5127001620.0
R3,9407100800.0
G2,1873100060.0
W3,8722101360.0
S3,8644000060.0
F1,3325069129.0
L3,1400300055.0
S3,2123039032.0
C3,8078560140.0
L3,3438500192.0
N2,7974200510.0
S3,2557000400.0
S3,7960900060.0
Q1,4054500390.0
S3,6378500125.0
S3,1745100140.0
L1,2976800796.0
S3,4235400186.0
S2,4215100060.0
S3,9189700045.0
S3,1126049053.0
E,2022069200.0
L3,9412900055.0
L1,1722059235.0
S3,6874200960.0
L1,7424700045.0
L3,7202360350.0
R3,5634500392.0
R3,1509500060.0
F3,7214810350.0
L3,6647200060.0
S3,9552700140.0
R3,2200500350.0
W1,6113400046.0
R3,6619910140.0
S3,1115450240.0
S3,6073240060.0
R2,9297300045.0
S3,9510920070.0
R3,5468730030.0
S3,8079030390.0
B2,600000152.0
S3,1840000030.0
F3,3225069065.0
E,3260800030.0
N1,2747100024.0
L3,5104530560.0
U3,4330600350.0
S3,5016001535.0
G3,7280300196.0
S3,8651520400.0
W,7171200445.0
R3,3204800200.0
R3,3416600800.0
S3,7994700030.0
N1,1860600135.0
S3,4139480200.0
J3,4139480200.0
F3,1328320800.0
L3,7771300125.0
S3,3422059208.0
S3,9521101455.0
S3,4337000335.0
F2,325059286.0
F2,2597650240.0
L1,3353400435.0
C1,7972000240.0
F3,7520000520.0
R3,7520000520.0
L3,3530210260.0
S3,1959700550.0
S3,1665400045.0
J3,9542850320.0
R3,3179100060.0
S3,2946001550.0
L1,8078490390.0
B3,9550201550.0
N1,191100045.0
S3,5009600070.0
L3,200350070.0
S3,2877103726.0
L1,405100295.0
W3,4268200055.0
S3,3126069068.0
S3,1115300070.0
S3,6414100671.0
S3,7004200060.0
S3,7852110140.0
L1,3969300030.0
L3,3969300030.0
R3,4048400070.0
S3,808000070.0
B3,7374200030.0
S3,7325600160.0
S1,2757000030.0
S3,616000140.0
R3,3363900111.0
L3,9262800171.0
W2,6607000126.0
L3,5416510830.0
S3,2201500030.0
S3,325059171.0
L3,952003285.0
R3,3211290370.0
S3,1072010350.0
F2,8856950070.0
L3,925059078.0
R3,7855801090.0
S3,723099065.0
S3,6116500075.0
N1,1118500030.0
N1,424069250.0
S3,3291800710.0
S3,6838700060.0
R3,2231500030.0
L2,2231500030.0
S3,7683900200.0
N,8155830060.0
G2,98020310.0
L1,9423400140.0
L3,1545804860.0
L3,2883200160.0
C3,7132300695.0
R3,1726059053.0
R3,624111000.0
L1,808300310.0
S3,8563040160.0
F2,713500030.0
N1,8651600160.0
F3,9517200030.0
R3,2460700700.0
L3,1223039290.0
C3,2890100060.0
R3,7972600860.0
L1,8857320070.0
R3,4047200695.0
R3,1653500070.0
R2,1923000030.0
S3,3649100320.0
G1,7375300160.0
S3,5175800060.0
B2,1604601375.0
S3,2473251090.0
S3,9126100861.0
W1,3420069065.0
J3,6021501685.0
S3,1151100070.0
S3,8856950240.0
S3,9385200055.0
S3,7821200390.0
W3,8078520310.0
L1,1565950030.0
L3,1560930070.0
S3,6700400140.0
L3,2422029094.0
R3,1774220160.0
N1,1525200060.0
L3,1678400105.0
R3,3426059070.0
N,824079032.0
R3,2697100140.0
S3,8724300030.0
S3,8678500060.0
G1,625049299.0
S3,6073200075.0
F3,6388900710.0
C3,1442860160.0
L3,7942600310.0
S3,1545808560.0
S3,936000060.0
L3,9808650060.0
J3,3754700160.0
S3,305500140.0
L1,5468750060.0
R3,2944010240.0
L3,3454000060.0
L3,646910160.0
U1,8564950390.0
W3,2268400350.0
S3,7504101040.0
S3,11500890.0
L3,9528102772.0
S3,284000223.0
S3,3353401710.0
L3,8159610030.0
R3,3179100435.0
L1,822079033.0
L3,8857600960.0
L1,1774000200.0
L1,2024069128.0
L1,1049010390.0
S3,7905370390.0
R3,4140090240.0
R3,4055700030.0
L1,3775300030.0
L3,2525300030.0
W3,1324059104.0
S3,2287000030.0
S3,7702010030.0
R3,1529200340.0
S3,2122039094.0
S3,1742800030.0
S3,1796360350.0
N1,6154500070.0
L3,1843100340.0
N1,8944290160.0
S3,4166600473.0
F3,7282300125.0
S3,8658300340.0
S3,2419600075.0
L3,2621760350.0
L2,1723049270.0
L3,4123840310.0
R3,2172000075.0
S3,8651611170.0
R1,8820902200.0
L3,8651610890.0
SW,1853080570.0
L3,3629920030.0
R3,1604602050.0
S3,6844700810.0
C3,66000070.0
W3,6665800030.0
R3,2205700350.0
S3,5466000030.0
R3,6189200125.0
R3,9169600135.0
R3,2625069070.0
L3,8732131090.0
S3,9286000240.0
S3,
L3,8691370400.0
L3,5423010350.0
E,8562501040.0
W1,2475200140.0
S3,7942100310.0
W1,3760000030.0
S3,1727500340.0
S3,9828702519.0
B2,4432600075.0
S3,7806300030.0
L3,9274202270.0
S3,7852030960.0
S3,7852170140.0
B3,7518503335.0
W3,5467900070.0
Q2,1245002952.0
L3,8906200070.0
L3,5379805885.0
S3,2769600560.0
L3,9238901420.0
N1,5113400431.0
W1,3885805665.0
N1,8121200810.0
S3,5126310400.0
L3,7322910030.0
C3,2827100070.0
S3,9276201895.0
S3,4402700070.0
S3,1922059046.0
N1,925059288.0
S3,4386700135.0
F2,1923069078.0
C3,1432400335.0
L3,1180003090.0
R3,726049331.0
L1,3340401555.0
L3,7453000070.0
S3,4348800030.0
S3,7202331420.0
R3,3225079035.0
S3,6381500700.0
S3,339500160.0
S3,1545807610.0
L1,1843200240.0
J3,4403600270.0
S3,2008200060.0
S3,1521069070.0
F2,2459500310.0
S3,6204420070.0
S3,5694500105.0
R3,5466410030.0
S3,9485740340.0
L3,622049114.0
R3,2270000070.0
F2,1310900260.0
S3,224069094.0
S3,7800800160.0
R1,2944000240.0
Q1,4139400710.0
L1,7899800860.0
S3,2473420140.0
L1,5000500055.0
S3,4099500935.0
R3,1373800295.0
S3,4025300135.0
L3,3294700310.0
S3,8718500075.0
S3,4309710240.0
S3,5486800070.0
N2,236400320.0
R3,4376700570.0
R3,8648100200.0
L3,3624079046.0
S3,1921069084.0
U2,6431500140.0
Q2,2725069050.0
L3,5307100060.0
S3,7203102050.0
R3,561000075.0
R2,2436701180.0
G1,809002765.0
S3,4045500710.0
S3,5104510270.0
S3,98020350.0
L3,1714900060.0
L1,1189000030.0
S3,2473360060.0
S3,222069082.0
S3,8669160310.0
W2,1526069135.0
L3,1088650310.0
S3,8945200860.0
S3,7853240200.0
G1,7511800070.0
L3,2998800125.0
S3,3876300310.0
G2,5419800510.0
S3,192460060.0
S3,7942601895.0
S3,7504010570.0
S3,1442740140.0
F3,6909200575.0
SW,
S3,3620069036.0
S3,2781280390.0
R3,9542830350.0
L3,1123049053.0
S3,8018600765.0
S3,3278600240.0
L3,7846200070.0
R3,662310400.0
S3,8651100140.0
J3,8682250350.0
B1,3211230260.0
S3,4233400340.0
L1,7199350340.0
N2,3904901710.0
Q1,240000058.0
R3,6865200444.0
R3,9498200046.0
S3,1796380960.0
L2,5631500868.0
L3,3126049411.0
R3,2321300390.0
S3,3905040800.0
S3,4379400260.0
S3,5115000160.0
W2,2826049234.0
S3,6600700030.0
B3,3904930240.0
N3,9407110700.0
S3,1682500160.0
O1,8078570390.0
L3,3010300240.0
Q1,9500900135.0
S3,461001615.0
S3,6411600069.0
Q1,7812800565.0
S3,7548300731.0
L1,8925100390.0
U3,7010700292.0
L3,9485951170.0
S3,5437820310.0
S3,582000135.0
S3,3204800370.0
W1,8832900550.0
W3,9550204515.0
S3,7199330390.0
L1,6131600060.0
W1,5379805460.0
S3,7212652180.0
S3,6379500640.0
W3,4315700060.0
U3,3329500060.0
S3,4140090320.0
F3,9385200045.0
F3,7852180340.0
L1,1545804340.0
S2,2490200320.0
W2,2218000335.0
S3,922049078.0
L3,2586800270.0
L3,4338800370.0
L3,7214700350.0
L3,3226200105.0
C3,2324039036.0
S3,7849202231.0
S3,5196410260.0
L1,3760500116.0
L2,2985800030.0
L3,259900160.0
S3,708000030.0
N2,192460310.0
B2,9412200260.0
S3,1062100116.0
L3,6798100662.0
L3,1775920350.0
N3,2525500260.0
R3,6145600041.0
C1,3300701615.0
S3,5151600340.0
L3,7613700521.0
S3,2710600045.0
S3,5101405124.0
W3,6067910030.0
S3,1959701890.0
S3,1402200340.0
L3,3558900070.0
S3,7846700310.0
F1,3348401740.0
N,3013300288.0
R3,7852070060.0
S3,5029450160.0
S3,3526069070.0
L2,5104540240.0
L3,3438500486.0
S3,5102400105.0
R3,2346200030.0
S3,1321710030.0
N3,7853290030.0
L3,1566100400.0
S3,1775800800.0
R3,9133600075.0
S3,5450900060.0
S3,1402600700.0
R3,8024200350.0
W1,3121500340.0
S3,7697870860.0
R3,7527200030.0
Q2,2013200390.0
S3,766500030.0
S3,6664000030.0
L1,9349900105.0
L1,1895000045.0
S3,6205500030.0
S3,7011200260.0
S3,41000454.0
S3,7203600550.0
L3,9477200560.0
S3,4022907770.0
L1,5231000060.0
S3,6055000310.0
L1,3216900060.0
L2,7967200060.0
L2,8077210350.0
S3,7203000640.0
S3,2988000070.0
N2,3832200070.0
C3,3670500710.0
L3,8820903380.0
S3,8820903380.0
S3,4233400400.0
S3,3793500550.0
W3,6431000270.0
S3,2225059214.0
L3,7694800270.0
S3,2171400197.0
S3,2473400340.0
L3,3530490070.0
L1,1932300075.0
S3,2525000510.0
S3,1853000510.0
B1,1742800060.0
R3,2723089104.0
L3,2619950350.0
S3,4021100045.0
S3,731500200.0
N2,2591820310.0
L3,3626039299.0
L3,9346980140.0
B3,6613000140.0
L1,8159610060.0
W1,7830800339.0
L1,1588600045.0
B1,826069046.0
L3,1771000890.0
L1,3300701170.0
W2,7340500270.0
R2,9277200111.0
L3,293720140.0
C3,579003610.0
S3,1138020200.0
R3,3432500200.0
W1,1563102435.0
R3,3959400710.0
S3,8682300890.0
L3,4385700765.0
W1,5149300200.0
L3,9323600060.0
S3,9273200140.0
S3,9542300320.0
R3,770000045.0
G3,6979900390.0
S3,6379500159.0
L3,826079094.0
S3,8856940060.0
S3,2972300060.0
S3,3575200070.0
N1,8146100270.0
B3,8648200030.0
R3,208500160.0
C3,1196003428.0
S3,5104450990.0
G3,3343901234.0
S3,226039214.0
C3,1623300160.0
S3,2205500575.0
L3,4040800810.0
N2,2612000390.0
J2,3814400125.0
C3,7300400060.0
S3,1954700695.0
N2,7230200340.0
S3,3191000240.0
S3,1139000069.0
F2,5693500270.0
L3,686500030.0
L3,8731901940.0
R3,2688100071.0
F3,2423069155.0
S3,2329500260.0
N2,2608300030.0
L3,1494300060.0
L3,7504101230.0
S3,8081020370.0
L3,1446800511.0
J3,1623049062.0
R3,6145601000.0
L3,205000520.0
L1,3885805935.0
F2,7852020640.0
R3,6838800140.0
S3,4083305445.0
R3,7855801610.0
L3,7940700260.0
S3,8854100350.0
C3,4365200860.0
G1,3904980030.0
S3,7843500070.0
R3,6067900060.0
R3,7202340960.0
S3,1786640070.0
R3,259600260.0
S3,7234600903.0
R3,4307350200.0
S3,3276930400.0
S3,4045100075.0
S3,1421069208.0
Q1,4057300200.0
N1,1922059135.0
N1,5014600240.0
S2,1565900070.0
J1,3121059033.0
S3,6799300270.0
L3,2021200370.0
R3,726049190.0
N,726049190.0
S3,4006000251.0
W3,3362400640.0
R3,1610000016.0
S3,7376300060.0
S3,7300200550.0
L3,2061100570.0
L3,8856890200.0
S3,8731951670.0
S3,4037200075.0
S3,5066400483.0
N1,4167300310.0
R3,8682262400.0
S3,8682262400.0
N2,6777800160.0
S3,1402950550.0
U3,2843200070.0
L1,6450303785.0
L3,9429500045.0
S3,1443300140.0
R3,108000127.0
S3,1081300200.0
SW,8818900060.0
L1,3395050060.0
S3,7197350070.0
S3,9510900270.0
S3,3905081070.0
S3,2322069114.0
S3,5637500070.0
S3,4164100160.0
F3,4136890260.0
L3,3056800160.0
L3,3654800200.0
G2,2296500036.0
S3,623069068.0
S3,1865820370.0
S3,1723049033.0
R3,2359300030.0
R3,6403310060.0
S3,1937300270.0
G3,4137050060.0
R3,2310000240.0
L3,3955900830.0
L3,8665050060.0
R3,3330500875.0
S3,3327020400.0
L1,1250700060.0
S3,4039300400.0
S3,6665800060.0
L2,7504110030.0
W2,7805450810.0
S3,8802400416.0
U2,6204400270.0
Q2,9536602080.0
C3,3826000070.0
G3,5101405335.0
J3,2349300060.0
L1,7749500370.0
L1,2436701200.0
L3,7871500070.0
U2,3323500030.0
S3,2110200036.0
F2,510002519.0
F2,1387300070.0
R3,9465910070.0
R3,2324800070.0
L3,1962200435.0
L3,8562890700.0
S3,3298700946.0
R3,880000189.0
L3,643500030.0
S3,8566100200.0
SW,4298100240.0
S3,3275780030.0
U1,8648220270.0
S3,1923000160.0
S3,7574910860.0
R2,2296500136.0
W2,3278600710.0
S3,2460700260.0
L3,3188100400.0
S3,9406520830.0
F3,3387900390.0
S3,1596600024.0
U3,7625701891.0
J2,3224800075.0
S3,7526800200.0
F2,3329530200.0
S3,2115200125.0
S3,6623400135.0
L3,103000116.0
S3,2768301525.0
R3,739980260.0
W2,4302200695.0
L3,1431700370.0
S3,7524000030.0
S2,4046500320.0
N3,4325000125.0
S3,3456000160.0
S1,9297301580.0
L3,2465400036.0
S3,5412200270.0
S3,1109000390.0
B3,8730000270.0
B2,7937600830.0
S3,3395070640.0
L1,8663280160.0
S3,6151800624.0
J2,8594400370.0
R3,2301400640.0
SW,4441300240.0
L2,7714000070.0
C3,3432500486.0
F2,5466420030.0
S3,
C3,2768301715.0
S3,3332000135.0
R3,65000400.0
SE,8820901670.0
L2,8712100575.0
L3,6116500341.0
J2,4167300030.0
R3,2925059135.0
W1,7708300140.0
J3,4139430340.0
S3,3812400070.0
N1,9455200445.0
R3,6203000160.0
W1,7517500611.0
L3,8691300860.0
E1,5489200435.0
S3,510002065.0
L1,252000400.0
F2,7279300070.0
S3,8113101670.0
L3,7578200310.0
L1,7715800570.0
L3,6852700478.0
W1,1917300260.0
S3,4298100070.0
L1,1842000140.0
S3,5462100240.0
R3,8651520510.0
L3,3578110200.0
S3,7555210340.0
S3,2313900510.0
S3,2009001600.0
S3,1455100116.0
S3,3629790160.0
R3,1778350070.0
S3,1703050200.0
B1,5469700570.0
B1,100600860.0
J1,421049116.0
S3,3205200640.0
S2,8899200570.0
W3,1777500160.0
R3,7853340860.0
R3,1862400132.0
N,6380500135.0
L1,9528104108.0
S3,2571910160.0
F3,316000160.0
S3,2695600505.0
S3,3904910320.0
J1,4100000140.0
S3,3226049270.0
S3,1455600030.0
J3,5559600140.0
S3,5147600105.0
S3,7437100570.0
L1,8856004730.0
S3,3856902996.0
B3,1442800370.0
S3,8001400340.0
S3,3131200640.0
S3,984000710.0
N3,4167300350.0
B2,2826049282.0
L1,8946750030.0
R3,461004720.0
C3,7852090810.0
G3,9264960340.0
S3,1624079104.0
L3,4310700570.0
L1,1254200075.0
S3,7214820030.0
S3,865100055.0
L3,686201000.0
S3,342000570.0
L3,5476200160.0
L1,7199320570.0
W3,6414100560.0
S3,1623049214.0
O1,2379300340.0
N1,7701990560.0
S3,2025700860.0
Q1,8562500200.0
B2,8143100350.0
R1,37000335.0
L3,1862900350.0
S3,1498302774.0
R3,2224700136.0
Q1,7697920160.0
F2,1370804430.0
N2,2267000160.0
S3,5700004028.0
R3,8682231170.0
S3,3353400860.0
L3,2424059035.0
B3,2021201000.0
S3,3919000030.0
L3,789000550.0
L3,5104511040.0
L1,7215722010.0
S3,16000435.0
R3,7197300105.0
U2,2877101031.0
Q1,2892600016.0
W2,2423020270.0
L3,1825079070.0
R3,5255710160.0
B3,723069135.0
S3,2024059094.0
L3,7613700860.0
Q1,2771101200.0
L1,7625704510.0
S3,1762600260.0
S3,2553300030.0
L3,5309101200.0
W3,5416300240.0
S3,3756600240.0
N1,8127700445.0
D1,9421500070.0
S3,9477710160.0
R2,1795500240.0
S3,7203220260.0
R3,3524039204.0
R3,5706200060.0
L2,7283900012.0
R3,809001070.0
W3,3340401535.0
C3,1607100139.0
S3,8699800060.0
S3,524069037.0
W3,6072600200.0
Q1,5144000036.0
N1,7855300200.0
S3,2485000202.0
S3,9209900270.0
S3,6099400030.0
E,9368700223.0
F3,1782000160.0
R1,269001360.0
R1,390100060.0
F3,7888400560.0
S3,7567600045.0
S3,7764200030.0
L3,9828202545.0
L3,6114600030.0
R3,9834200885.0
W3,9834200885.0
L1,3509600070.0
L3,2473002080.0
S3,1081300370.0
Q3,11501160.0
N1,7202330370.0
S3,7000100631.0
S3,2484200171.0
E3,9477201040.0
SW,7202290160.0
S3,4366700140.0
R3,5457300478.0
R3,9158100116.0
L3,7227500830.0
J2,7237500390.0
F2,2197600451.0
S3,3278604400.0
S3,1788700160.0
S3,3276930270.0
S3,7374600060.0
R3,2505500030.0
R3,2770604942.0
F3,7831800505.0
J3,5416510060.0
L3,4137010260.0
L2,7683800200.0
S3,1509500160.0
S3,3904940200.0
F3,4037200295.0
R3,7258200055.0
S3,9178600560.0
C3,255520260.0
S3,751000060.0
F2,3343900326.0
S3,7137900320.0
S3,2641800060.0
S3,293760310.0
L1,7237501180.0
C3,5332200550.0
S3,3450300240.0
S3,9352900695.0
S3,3324069070.0
L1,8062900070.0
B2,8062900070.0
S3,4427100030.0
S3,4039100400.0
L1,2171400126.0
L2,7135520810.0
G2,2475201180.0
R3,4024100951.0
R3,6021502830.0
S3,7710100083.0
S3,2781270550.0
R3,200510060.0
L1,9554200105.0
Q2,3320000810.0
B3,643500060.0
L3,2537500140.0
L2,5112800421.0
S3,3352402236.0
S3,3905100520.0
J1,6332940070.0
L3,809002435.0
S3,3797000295.0
S3,1775801260.0
S1,4055701200.0
S3,7137960030.0
L3,7880010060.0
L3,3797001920.0
L3,3901100055.0
L3,8069000075.0
N1,1541700240.0
L3,6064800710.0
S3,1865810060.0
W3,7533800295.0
S3,5415300060.0
U3,3876100320.0
L3,1247600105.0
S3,3705900238.0
S3,3876200070.0
C3,4388000140.0
B2,3523029041.0
L1,3110800260.0
R3,3131201290.0
S3,1117200390.0
N1,8956000350.0
S3,7853210140.0
S3,3250500140.0
R3,2767601375.0
W2,9465910320.0
R3,3334000055.0
N1,7893800335.0
S3,3586500700.0
W3,3630180400.0
N1,3210950510.0
S3,1224069074.0
S2,7625700935.0
S3,7856610200.0
S3,7287100135.0
W,1023059324.0
J1,6398000171.0
L2,6149700350.0
F2,9558020890.0
L3,2624049185.0
L1,236400260.0
S3,3826000560.0
S3,7011201245.0
R3,9222400510.0
R3,9455200570.0
R3,2112700030.0
S3,8658300260.0
R3,3996900160.0
D1,5561400340.0
W2,11900140.0
L3,6071600340.0
L1,1231000510.0
L3,1231000510.0
S3,7683800192.0
Q1,4123400340.0
S3,5458300685.0
L1,194000505.0
L1,3885804305.0
S3,3971700560.0
C3,8585400135.0
S3,8691500990.0
L3,2770606685.0
W3,8856971000.0
L1,1026049082.0
L3,2095800400.0
S3,7852030240.0
SE,6321000045.0
L1,3751600030.0
S3,4046500510.0
S3,8029520240.0
R3,7016310030.0
S3,1238500451.0
L3,4401150070.0
O3,3331000070.0
S3,2636900126.0
S3,1842900030.0
F2,1761300310.0
F2,5249800729.0
S3,5104511600.0
L1,8663370060.0
L1,613400030.0
W2,6004510240.0
R3,1450100070.0
S3,6117501820.0
L1,6117501820.0
S3,5420300240.0
B3,4140900140.0
L3,1630700135.0
R3,5166700055.0
E,3224600310.0
L3,7227802030.0
B2,226059078.0
S3,1796100140.0
S3,5309100140.0
N1,8658300510.0
S3,8691300060.0
S3,9103000393.0
R3,8682281170.0
N2,472000055.0
S3,2473400570.0
Q2,3449500135.0
S3,1926049355.0
L3,8650000070.0
F2,8732131200.0
R3,1624079051.0
R3,993001629.0
S3,3832711040.0
L3,5244801230.0
S3,2798600240.0
N2,5701800030.0
S3,7636800041.0
B3,3904901200.0
S3,4109600055.0
S3,3339400349.0
G3,7202340370.0
S3,9477500060.0
N1,4310701600.0
G2,2215450060.0
L1,2919702075.0
L3,8079030350.0
E,7893804340.0
S3,4389200765.0
S3,1822069116.0
L1,7276100282.0
C3,567000392.0
L1,5729200030.0
W2,8682220390.0
S3,9828700200.0
S3,7852180560.0
S3,3655400060.0
S3,7955030060.0
S3,8964800445.0
S3,6204410200.0
S3,7625702400.0
W3,5113200310.0
B1,7893802800.0
S3,2473003210.0
W2,1402600570.0
R3,8944460030.0
W3,2473480560.0
L3,3365900465.0
S3,5341600030.0
L3,6073500160.0
N1,2025760160.0
S3,9393700140.0
N1,5458800125.0
S3,2492200435.0
L3,3759500046.0
B1,8648220260.0
L3,6392001670.0
S3,2026049155.0
N,2329800240.0
S3,3380900125.0
S3,1324079041.0
L1,8682230550.0
S3,853400240.0
S3,2130702075.0
L3,3260810260.0
R3,2878600200.0
S3,7298040310.0
J3,766000240.0
L3,3459700340.0
L3,2473251180.0
L1,2407900200.0
S3,
S3,203600140.0
F3,4037800140.0
G1,1683600240.0
L2,1962200036.0
C2,1775800510.0
S3,1822350070.0
L3,7772400160.0
S3,273900030.0
L1,3323069084.0
S3,4337000160.0
B2,9126100550.0
R3,5101405274.0
R1,4232400860.0
G1,2723069082.0
S3,7436500270.0
S3,5153200030.0
L1,4022900125.0
R3,7841300505.0
N,573000685.0
W3,8961990160.0
N3,1250202255.0
D1,7234600796.0
R3,3630180340.0
R3,5104450070.0
N1,9477100060.0
R3,4139440830.0
G1,6772200055.0
S3,8731982190.0
W3,6300000335.0
L3,9301300751.0
W3,9542100135.0
L3,8691410700.0
R3,217500135.0
L3,3731800055.0
L1,7234600786.0
B2,2423059104.0
Q1,1823039205.0
L3,2423020260.0
L3,2695600070.0
L3,6844703240.0
S3,3904940070.0
S3,1939130070.0
S3,5589300370.0
R3,3526039116.0
L3,6821600390.0
S3,1925069082.0
Q2,8100400160.0
S3,5556300102.0
J3,7222000393.0
F2,9407001860.0
L1,
S3,3295950240.0
F3,3905000340.0
N2,3374300070.0
L1,7812800310.0
R3,7015200685.0
S3,3521069051.0
L1,8032700140.0
L3,6117500320.0
L3,7305300045.0
S3,922069139.0
R3,84000335.0
S3,9232400055.0
S3,1453600202.0
S3,3904910520.0
L3,5469300270.0
L3,8681660060.0
W3,3902300350.0
N,6392003490.0
L1,3342700465.0
S3,2592210160.0
R3,616000160.0
R3,1687000270.0
L3,4102000075.0
L3,8078460550.0
S3,2710600070.0
S3,37000435.0
F2,5100401414.0
S3,5631500254.0
R3,8567300140.0
L1,98000060.0
S3,2205500400.0
S3,1726069084.0
S3,8682291840.0
N,5003600240.0
L3,5636000400.0
R3,3298700125.0
S3,7880000060.0
R1,7811200310.0
L3,5255690160.0
F2,869700320.0
S3,6052401631.0
L1,5089700260.0
W2,9473200105.0
N1,6678900140.0
S3,9552700550.0
L1,2171400218.0
L3,9122001231.0
Q1,6639900012.0
L1,8151601090.0
R3,6664900260.0
S3,7663700030.0
